ac08_id,secc_cons_rural,secc_cons_pc_rural,secc_pov_rate_rural,secc_pov_rate_tend_rural,_mean_p_miss,_core_p_miss,_target_weight_share,_target_group_max_weight_share,_frag_pop_share
2008-19-079,67423.5515781392,15714.726528870964,0.3921751997968388,0.3109178071691837,0.0004926883778544,0.0004926883778544,0.9740225191280796,0.7986930537556782,0.0655598988150757
2008-19-080,67757.78257322627,15738.695074112713,0.36711818119820866,0.2796965503789398,0.012802516428776,0.012802516428776,0.9796194653714768,0.7986930537556782,0.0474686545187072
2008-19-081,61328.76778235123,14400.883261702116,0.447531248219109,0.3695403762932368,0.0204921372919524,0.0204921372919524,0.9794697094794064,0.7986930537556782,0.0474128301292104
2008-19-082,64296.24426689537,14441.457689456742,0.4234754814872352,0.3372505099540403,0.0,0.0,0.9802006258289974,0.7986930537556782,0.068709974043971
2008-19-083,69018.21181105093,16411.41448605474,0.32569682947013323,0.2521040209782286,0.0,0.0,0.9750809174584536,0.7953985386255302,0.0906574083915407
2008-19-084,56756.85313798803,13429.386151379316,0.5040446890293153,0.4294366436452413,0.0,0.0,0.9525553082941496,0.7953985386255302,0.1015330134382728
2008-19-085,65013.94349335875,15616.994588037885,0.38632259089106175,0.30992968641597773,0.0,0.0,0.9746597661567216,0.7953985386255302,0.0593836453969736
2008-19-086,57214.02565036575,13524.652628388827,0.49289262771736003,0.40708367997540856,0.0,0.0,0.9631813721636608,0.7906579468872683,0.0514983461736864
2008-19-087,69093.4922811844,16317.521268926075,0.3173148212719553,0.24057145195231147,0.0,0.0,0.9453771513302728,0.7906579468872683,0.1490787750242865
2008-19-088,70823.4420900034,16587.253204467346,0.3271798139956032,0.25636687504959377,0.0,0.0,0.9925158270331534,0.7906579468872683,0.033383496650219
2008-19-089,73839.78964967467,16617.5068476011,0.28055697065967294,0.2054252439720114,0.0252869964335954,0.0252869964335954,0.98443427762464,0.7906579468872683,0.0269800427353918
2008-19-091,67698.24818071994,15812.9055873347,0.3839658267313221,0.30864780932267366,1.1102230246251563e-16,1.1102230246251563e-16,0.9788015665419126,0.7906579468872683,0.0382604081062861
